"habitants","municipi"
"203","OSSO DE SIO"
"918","PACS DEL PENEDES"
"9613","PALAFOLLS"
"23244","PALAFRUGELL"
"18135","PALAMOS"
"2166","PALAU D'ANGLESOLA"
"90","PALAU DE SANTA EULALIA"
"310","PALAU-SATOR"
"1456","PALAU-SAVERDERA"
"14892","PALAU-SOLITA I PLEGAMANS"
"4850","PALLARESOSS"
"11622","PALLEJA"
"338","PALMA D'EBRE"
"2992","PALMA DE CERVELLO"
"448","PALOL DE REVARDIT"
"2395","PALS"
"4172","PAPIOL"
"169","PARDINES"
"19071","PARETS DEL VALLES"
"391","PARLAVA"
"155","PASSANANT I BELLTALL"
"557","PAU"
"545","PAÜLS"
"191","PEDRET I MARZA"
"436","PENELLES"
"435","PERA"
"405","PERAFITA"
"1264","PERAFORT"
"1898","PERALADA"
"347","PERAMOLA"
"2826","PERELLO"
"16134","PIERA"
"210","PILES"
"27984","PINEDA DE MAR"
"1008","PINELL DE BRAI"
"193","PINELL DE SOLSONES"
"286","PINOS"
"503","PIRA"
"2348","PLA DE SANTA MARIA"
"1275","PLA DEL PENEDES"
"1712","PLANES D'HOSTOLES"
"304","PLANOLES"
"491","PLANS DE SIOS"
"670","POAL"
"189","POBLA DE CERVOLES"
"2185","POBLA DE CLARAMUNT"
"1093","POBLA DE LILLET"
"3971","POBLA DE MAFUMET"
"317","POBLA DE MASSALUCA"
"2884","POBLA DE MONTORNES"
"3043","POBLA DE SEGUR"
"321","POBOLEDA"
"8504","POLINYA"
"488","PONT D'ARMENTERA"
"152","PONT DE BAR"
"516","PONT DE MOLINS"
"2257","PONT DE SUERT"
"3907","PONT DE VILOMARA I ROCAFORT"
"122","PONTILS"
"528","PONTONS"
"260","PONTOS"
"2644","PONTS"
"4677","PORQUERES"
"424","PORRERA"
"958","PORT DE LA SELVA"
"1063","PORTBOU"
"743","PORTELLA"
"158","PRADELL DE LA TEIXETA"
"588","PRADES"
"177","PRAT DE COMTE"
"65385","PRAT DE LLOBREGAT"
"726","PRATDIP"
"2604","PRATS DE LLUÇANES"
"537","PRATS DE REIS"
"222","PRATS I SANSOR"
"387","PREIXANA"
"418","PREIXENS"
"10441","PREMIA DE DALT"
"28531","PREMIA DE MAR"
"1855","PRESES"
"226","PRULLANS"
"9486","PUIGCERDA"
"524","PUIGDALBER"
"278","PUIGGROS"
"1163","PUIGPELAT"
"4295","PUIG-REIG"
"229","PUIGVERD D'AGRAMUNT"
"1349","PUIGVERD DE LLEIDA"
"210","PUJALT"
"49","QUAR"
"3798","QUART"
"188","QUERALBS"
"518","QUEROL"
"184","RABOS"
"534","RAJADELL"
"783","RASQUERA"
"276","REGENCOS"
"809","RELLINARS"
"162","RENAU"
"106168","REUS"
"641","RIALP"
"585","RIBA"
"1110","RIBA-ROJA D'EBRE"
"433","RIBERA D'ONDARA"
"932","RIBERA D'URGELLET"
"1760","RIBES DE FRESER"
"4153","RIELLS I VIABREA"
"1742","RIERA DE GAIA"
"263","RINER"
"10803","RIPOLL"
"39179","RIPOLLET"
"93","RIU DE CERDANYA"
"2204","RIUDARENES"
"481","RIUDAURA"
"1146","RIUDECANYES"
"1189","RIUDECOLS"
"2071","RIUDELLOTS DE LA SELVA"
"6569","RIUDOMS"
"246","RIUMORS"
"10754","ROCA DEL VALLES"
"211","ROCAFORT DE QUERALT"
"6785","RODA DE BERA"
"6490","RODA DE TER"
"494","RODONYA"
"8079","ROQUETES"
"19807","ROSES"
"3237","ROSSELLO"
"372","ROURELL"
"78591","RUBI"
"239","RUBIO"
"273","RUPIA"
"271","RUPIT I PRUIT"
"216520","SABADELL"
"145","SAGAS"
"327","SALAS DE PALLARS"
"278","SALDES"
"159","SALES DE LLIERCA"
"6735","SALLENT"
"549","SALOMO"
"28526","SALOU"
"32138","SALT"
"379","SANAÜJA"
"37447","SANT ADRIA DE BESOS"
"89","SANT AGUSTI DE LLUÇANES"
"27569","SANT ANDREU DE LA BARCA"
"11133","SANT ANDREU DE LLAVANERES"
"160","SANT ANDREU SALOU"
"345","SANT ANIOL DE FINESTRES"
"6208","SANT ANTONI DE VILAMAJOR"
"884","SANT BARTOMEU DEL GRAU"
